"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.77","LP183508-3","STATUS","ACTIVE","INACTIVE",""
"2.77","LP201886-1","STATUS","ACTIVE","DEPRECATED",""
"2.77","LP208441-8","STATUS","ACTIVE","DEPRECATED",""
"2.77","LP373684-2","STATUS","ACTIVE","DEPRECATED","Obsolete"
"2.77","LP375708-7","STATUS","ACTIVE","DEPRECATED","Obsolete"
"2.77","LP428644-1","STATUS","ACTIVE","DEPRECATED","Obsolete"
"2.77","LP434876-1","STATUS","ACTIVE","DEPRECATED","Obsolete"
"2.77","LP435425-6","STATUS","ACTIVE","DEPRECATED","Obsolete"
"2.77","LP435512-1","STATUS","ACTIVE","INACTIVE",""
"2.77","LP435809-1","STATUS","ACTIVE","INACTIVE",""
"2.77","LP436405-7","STATUS","ACTIVE","INACTIVE",""
"2.77","LP436500-5","STATUS","ACTIVE","INACTIVE",""
"2.77","LP436953-6","STATUS","ACTIVE","DEPRECATED","Obsolete"
"2.77","LP437067-4","STATUS","ACTIVE","DEPRECATED",""
