"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"16475-6","Borrelia burgdorferi Ab","granica wykrywalności","punkt w czasie","płyn mózgowo-rdzeniowy","półilościowy","metoda immunologiczna","MICRO","","","Borrelia burgdorferi",""
"16476-4","Borrelia burgdorferi Ab","granica wykrywalności","punkt w czasie","płyn ustrojowy","półilościowy","metoda immunologiczna","MICRO","","","Borrelia burgdorferi",""
"24050-7","Kwaśna alfa-glukozydaza","zawartość katalityczna","punkt w czasie","fibroblasty","ilościowy","","badania biochemiczne - testy bez obciążenia","","","Glukozydaza Kwaśna alfa-glukozydaza",""
"23800-6","(Alternaria alternata+aspergillus fumigatus+cladosporium herbarum+penicillium notatum) Ab IgE","granica wykrywalności","punkt w czasie","surowica","półilościowy","multidysk","alergia","","","Aspergillus fumigatus IgE Mieszanka alergenów pleśni 1 (alternaria alternata, Aspergillus fumigatus, Cladosporium herbarum, Penicillium notatum) Przeciwciała do Penicillium notatum Przeciwciała IgE do mieszanki alergenów pleśni 1 (alternaria alternata, aspergillus fumigatus, cladosporium herbarum, penicillium notatum) Przeciwciała IgE do Penicillium notatum",""
"30418-8","Limfocyty.roszczepione jądro","stężenie liczbowe","punkt w czasie","krew","ilościowy","","morfologia krwi","","","koncentracja Limfocyty Limfocyty roszczepione jądro",""
"30379-2","Eozynofile/100 leukocytów","frakcja liczbowa","punkt w czasie","płyn opłucnowy","ilościowy","","morfologia krwi","","","Eozynofile Eozynofile/100 leukoców Leukocyty",""
"30437-8","Monocyty+makrofagi/100 leukocytów","frakcja liczbowa","punkt w czasie","płyn ustrojowy","ilościowy","","morfologia krwi","","","Leukocyty Makrofagi/100 leukocytów Monocyty Monocyty+makrofagi Monocyty+makrofagi/100 leukocytów",""
"17105-8","Komórki.CD107b/100 komórek","frakcja liczbowa","punkt w czasie","krew","ilościowy","","markery komórkowe","","","Komórki CD107b Komórki CD107b/100 komórek",""
"23898-0","Mezotelialne komórki","granica wykrywalności","punkt w czasie","płyn mózgowo-rdzeniowy","półilościowy","mikroskopia świetlna","morfologia krwi","","","Mezotelialne komórki",""
"23901-2","Obserwacja mikroskopowa","wykrycie lub identyfikacja","punkt w czasie","płyn ustrojowy","cecha","preparatyka na mokro","MICRO","","","",""
"17107-4","Komórki.CD117/100 komórek","frakcja liczbowa","punkt w czasie","krew","ilościowy","","markery komórkowe","","","Komórki CD117 Komórki CD117/100 komórek",""
"17108-2","Komórki.CD118/100 komórek","frakcja liczbowa","punkt w czasie","krew","ilościowy","","markery komórkowe","","","Komórki CD118 Komórki CD118/100 komórek",""
"23980-6","Borrelia burgdorferi Ab.IgG","granica wykrywalności","punkt w czasie","płyn ustrojowy","półilościowy","immunoblotting","MICRO","","","Borrelia burgdorferi IgG",""
"24002-8","Obserwacja mikroskopowa","wykrycie lub identyfikacja","punkt w czasie","wydzielina oskrzelowa","cecha","barwienie w kierunku bakterii kwasoopornych","MICRO","","","",""
"30442-8","Monocyty/100 leukocytów","frakcja liczbowa","punkt w czasie","mocz","ilościowy","","morfologia krwi","","","Leukocyty Monocyty Monocyty/100 leukocytów",""
"15468-2","Koński wirus niedokrwistości zakaźnej Ab","granica wykrywalności","punkt w czasie","surowica","półilościowy","immunodyfuzja","MICRO","","","Przeciwciała do końskiego wirusa niedokrwistości zakaźnej",""
"15352-8","Apolipoproteina E3","granica wykrywalności","punkt w czasie","krew","półilościowy","","badania biochemiczne - testy bez obciążenia","","","Apolipoproteina E3",""
"15389-0","Wirus paragrypy typ 1 Ab.IgG","granica wykrywalności","punkt w czasie","surowica","półilościowy","","MICRO","","","IgG Paragrypa typ 1 Przeciwciała do wirusa paragrypy typu 1 Przeciwciała IgG do wirusa paragrypy typu 1",""
"15474-0","Wirus zakaźnego zapalenia kaletki Ab","granica wykrywalności","punkt w czasie","surowica","półilościowy","immunodyfuzja","MICRO","","","Przeciwciała do wirusa zakaźnego zapalenia kaletki Wirus zakaźnego zapalenia kaletki",""
"15475-7","Wirus zakaźnego zapalenia kaletki Ab","granica wykrywalności","punkt w czasie","surowica","półilościowy","metoda immunologiczna","MICRO","","","Przeciwciała do wirusa zakaźnego zapalenia kaletki Wirus zakaźnego zapalenia kaletki",""
"31949-1","Syncytialny wirus oddechowy Ag","granica wykrywalności","punkt w czasie","gardło","półilościowy","","MICRO","","","Antygen syncytialnego wirusa oddechowego Wirus syncytialny nabłonka oddechowego",""
"17398-9","Wirus brodawczaka ludzkiego 11 Ag","granica wykrywalności","punkt w czasie","XXX","półilościowy","","MICRO","","","Antygen wirus brodawczaka ludzkiego typ 11 Wirus brodawczaka ludzkiego Wirus brodawczaka ludzkiego typ 11",""
"17399-7","Wirus brodawczaka ludzkiego 16 Ag","granica wykrywalności","punkt w czasie","XXX","półilościowy","","MICRO","","","Antygen wirus brodawczaka ludzkiego typ 16 Wirus brodawczaka ludzkiego Wirus brodawczaka ludzkiego typ 16",""
"17400-3","Wirus brodawczaka ludzkiego 16+18 Ag","granica wykrywalności","punkt w czasie","XXX","półilościowy","","MICRO","","","Antygen wirus brodawczaka ludzkiego typ 16+18 Wirus brodawczaka ludzkiego Wirus brodawczaka ludzkiego typ 16 Wirus brodawczaka ludzkiego typ 16 i 18 Wirus brodawczaka ludzkiego typ 16+18",""
"17401-1","Wirus brodawczaka ludzkiego 18 Ag","granica wykrywalności","punkt w czasie","XXX","półilościowy","","MICRO","","","Antygen wirusa brodawczaka ludzkiego typ 18 Wirus brodawczaka ludzkiego Wirus brodawczaka ludzkiego typ 18",""
"3680-6","HYDROkodon","stężenie masowe","punkt w czasie","surowica lub osocze","ilościowy","","toksykologia leków","","","",""
"3681-4","HYDROkodon","stężenie masowe","punkt w czasie","mocz","ilościowy","","toksykologia leków","","","",""
"44441-4","Aspergillus niger Ab","stężenie w jednostkach umownych","punkt w czasie","surowica","ilościowy","test wiązania dopełniacza","MICRO","","","Aspergillus niger Przeciwciała do Aspergillus niger",""
"44452-1","Borrelia burgdorferi Ab","stężenie w jednostkach umownych","punkt w czasie","surowica","ilościowy","immunoblotting","MICRO","","","Borrelia burgdorferi",""
"51088-3","Blasty.CD16/100 blastów","frakcja liczbowa","punkt w czasie","XXX","ilościowy","","markery komórkowe","","","Blasty CD16 Blasty CD16/100 blastów CD16",""
"5830-5","Adenowirus Ag","granica wykrywalności","punkt w czasie","tkanka i rozmazy","półilościowy","immunofluorescencja","MICRO","","","Adenowirus Antygen Adenowirusa",""
"6680-3","Obserwacja mikroskopowa","wykrycie lub identyfikacja","punkt w czasie","tkanka i rozmazy","cecha","preparatyka na mokro","MICRO","","","",""
"13294-4","Wirus zapalenia wątroby typu E Ab","granica wykrywalności","punkt w czasie","surowica","półilościowy","","MICRO","","","Przeciwciała do wirusa zapalenia wątroby typu E",""
"13441-1","Kreatynina klirens nerkowy","wskaźnik objętości w jednostce czasu","4 godziny","mocz i surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"13448-6","Wapń/osmolarność surowicy","współczynnik","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"13449-4","Kreatynina klirens nerkowy/1,73 m kw.","wskaźnik objętości w jednostce czasu na powierzchnię","8 godzin","mocz i surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14417-0","Wapń","stężenie molowe","punkt w czasie","płyn otrzewnowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14421-2","Bilirubina","stężenie masowe","punkt w czasie","płyn opłucnowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14434-5","Albumina/globulina","współczynnik masowy","punkt w czasie","płyn opłucnowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14436-0","Albumina/globulina","współczynnik masowy","punkt w czasie","nasienie","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14438-6","Cholesterol","stężenie masowe","punkt w czasie","płyn owodniowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"1751-7","Albumina","stężenie masowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"74886-3","Stygmasterol","stężenie molowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","Stygmasterol",""
"1752-5","Albumina","stężenie masowe","punkt w czasie","płyn stawowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"1753-3","Albumina","granica wykrywalności","punkt w czasie","mocz","półilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"18281-6","Wapń^^skorygowany wg białka całkowitego","stężenie molowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"18290-7","Erytrocyty","morfologia","punkt w czasie","płyn stawowy","cecha","mikroskopia świetlna","morfologia krwi","","","",""
"18352-5","Objętość próbki","objętość","4 godziny","mocz","ilościowy","","informacja o próbce","","","",""
"77392-9","Wirus paragrypy typ 3 Ag","granica wykrywalności","punkt w czasie","nosogardziel","półilościowy","immunofluorescencja","MICRO","","","Antygen wirusa paragrypy typu 3",""
"7763-6","Juglans nigra Ab IgE","stężenie w jednostkach umownych","punkt w czasie","surowica","ilościowy","","alergia","","","IgE Orzech czarny (Juglans nigra) Przeciwciała do orzecha czarnego (Juglans nigra) Przeciwciała IgE do orzecha czarnego (Juglans nigra)",""
"20611-0","Komórki.CD5/100 komórek","frakcja liczbowa","punkt w czasie","XXX","ilościowy","","markery komórkowe","","","CD5 Komórki CD5 Komórki CD5/100 komórek",""
"2074-3","Chlorek","stężenie molowe","punkt w czasie","ślina","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2076-8","Chlorek","zawartość molowa","punkt w czasie","kał","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2084-2","Estry cholesterolu","stężenie masowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"17871-5","Hemoglobina H","granica wykrywalności","punkt w czasie","krew","półilościowy","denaturacja cieplna","morfologia krwi","","","",""
"18225-3","Kształt erytrocyta","morfologia","punkt w czasie","krew","cecha","","morfologia krwi","","","",""
"28003-2","Sód/potas","współczynnik molowy","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"28007-3","Urobilinogen","umowny wskaźnik czasowy","24 godziny","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"30391-7","Erytrocyty","stężenie liczbowe","punkt w czasie","mocz","ilościowy","","badanie moczu","","","koncentracja",""
"30393-3","Erytrocyty jądrzaste/100 leukocytów","współczynnik","punkt w czasie","krew","ilościowy","","morfologia krwi","","","Erytrocyty jądrzaste/100 leukocytów Leukocyty",""
"32319-6","Glukoza^30 min. po 75 g glukozy p. o.","stężenie molowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - test obciążeniowy","","","Glukoza 30min po podaniu 75 g glukozy doustnie",""
"32333-7","Fenylopropanoloamina","granica wykrywalności","punkt w czasie","XXX","półilościowy","","toksykologia leków","","","",""
"32337-8","Białko","stężenie masowe","punkt w czasie","XXX","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"35006-6","Plazmocyty","stężenie liczbowe","punkt w czasie","płyn ustrojowy","ilościowy","","morfologia krwi","","","koncentracja",""
"35119-7","Wodzian chloralu","granica wykrywalności","punkt w czasie","surowica lub osocze","półilościowy","","toksykologia leków","","","",""
"35126-2","Hemoglobina O-Arab/hemoglobina całkowita","frakcja masowa","punkt w czasie","krew","ilościowy","","morfologia krwi","","","Hemoglobina O-Arab/Hemoglobina całkowita",""
"88211-8","Wirus wścieklizny Ag","granica wykrywalności","punkt w czasie","płyn mózgowo-rdzeniowy","półilościowy","metoda immunologiczna","MICRO","","","Antygen wirusa wścieklizny",""
"33204-9","Troponina sercowa T","granica wykrywalności","punkt w czasie","surowica lub osocze","półilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"4559-1","Hemoglobina Barts","granica wykrywalności","punkt w czasie","krew","półilościowy","elektroforeza zasadowa (pH=8, 9)","morfologia krwi","","","",""
"48289-3","Benzoesan sodu uwolnienie leukotrienu","stężenie masowe","punkt w czasie","leukocyty","ilościowy","","alergia","","","",""
"48290-1","Azotan sodu uwolnienie leukotrienu","stężenie masowe","punkt w czasie","leukocyty","ilościowy","","alergia","","","",""
"47716-6","Tlen^^dostosowany do aktualnej temperatury pacjenta","ciśnienie parcjalne","punkt w czasie","krew pępowinowa","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"40689-2","Komórki erytroidalne/100 komórek","frakcja liczbowa","punkt w czasie","szpik kostny","ilościowy","zliczanie ręczne","morfologia krwi","","","",""
"53129-3","Kryształy moczanu sodu","liczba w jednostce powierzchni","punkt w czasie","osad moczu","ilościowy","mikroskopia świetlna w dużym powiększeniu","badanie moczu","","","",""
"30399-0","Rozpiętość rozkładu stężenia hemoglobiny","długość","punkt w czasie","krew","ilościowy","","morfologia krwi","","","",""
"30428-7","Średnia objętość krwinki czerwonej (SOK)","objętość zawarta w","punkt w czasie","krwinki czerwone","ilościowy","","morfologia krwi","","","",""
"28009-9","Objętość próbki","objętość","punkt w czasie","mocz","ilościowy","","informacja o próbce","","","",""
"51436-4","Białko monoklonalne","stężenie masowe","24 godziny","mocz","ilościowy","elektroforeza","badania biochemiczne - testy bez obciążenia","","","",""
"18381-4","Dekarboksylaza uroporfirynogenu","stężenie katalityczne","punkt w czasie","krew","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"19075-1","Ogólna liczba zliczonych komórek","liczba","punkt w czasie","płyn mózgowo-rdzeniowy","ilościowy","","morfologia krwi","","","",""
"5898-2","Czas częściowej tromboplastyny po aktywacji","czas","punkt w czasie","osocze","ilościowy","test krzepnięcia","krzepnięcie","","","",""
"58990-3","Kwas moczowy","wskaźnik masowy w jednostce czasu","18 godzin","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"58996-0","Potas","wskaźnik molowy w jednostce czasu","18 godzin","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2089-1","Cholesterol w LDL","stężenie masowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2091-7","Cholesterol w VLDL","stężenie masowe","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2097-4","Cholinoesteraza","stężenie katalityczne","punkt w czasie","płyn owodniowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14439-4","Cholesterol","stężenie masowe","punkt w czasie","płyn mózgowo-rdzeniowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"32344-4","Urobilina","granica wykrywalności","punkt w czasie","kał","półilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"18227-9","Glukoza","wskaźnik masowy w jednostce czasu","6 godzin","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"18273-3","Skryning przeciwciał grup krwi","granica wykrywalności","punkt w czasie","surowica lub osocze^jednostka krwi pełnej","półilościowy","","bank krwi","","","",""
"13450-2","Kreatynina klirens nerkowy/1,73 m kw.","wskaźnik objętości w jednostce czasu na powierzchnię","12 godzin","mocz i surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"17534-9","Czynnik reumatoidalny","stężenie w jednostkach umownych","punkt w czasie","płyn ustrojowy","ilościowy","metoda immunologiczna","serologia niemikrobiologiczna","","","",""
"24106-7","Komórki włochate/100 leukocytów","frakcja liczbowa","punkt w czasie","krew","ilościowy","zliczanie ręczne","morfologia krwi","","","Komórki włochate na 100 leukocytów Leukocyty",""
"17121-5","Komórki.CD18/100 komórek","frakcja liczbowa","punkt w czasie","krew","ilościowy","","markery komórkowe","","","CD18 Komórki CD18 Komórki CD18/100 komórek",""
"17150-4","Komórki.CD42b/100 komórek","frakcja liczbowa","punkt w czasie","krew","ilościowy","","markery komórkowe","","","Komórki CD42b Komórki CD42b/100 komórek",""
"30455-0","Neutrofile/100 leukocytów","frakcja liczbowa","punkt w czasie","płyn opłucnowy","ilościowy","","morfologia krwi","","","Leukocyty Neutrofile",""
"30526-8","Borrelia burgdorferi Ab.IgM","granica wykrywalności","punkt w czasie","surowica","półilościowy","immunofluorescencja","MICRO","","","Borrelia burgdorferi IgM",""
"17151-2","Komórki.CD42c/100 komórek","frakcja liczbowa","punkt w czasie","krew","ilościowy","","markery komórkowe","","","Komórki CD42c Komórki CD42c/100 komórek",""
"24108-3","CA 19-9 Ag","stężenie w jednostkach umownych","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","Antygen CA 19-9",""
"30404-8","Leukocyty","stężenie liczbowe","punkt w czasie","kał","ilościowy","","morfologia krwi","","","koncentracja Leukocyty",""
"30410-5","Lueukocyty pozostałe/100 leukocytów","frakcja liczbowa","punkt w czasie","płyn stawowy","ilościowy","","morfologia krwi","","","Leukocyty Lueukocyty pozostałe Lueukocyty pozostałe/100 leukocytów",""
"30411-3","Leukocyty.przesunięcie w lewo","granica wykrywalności","punkt w czasie","krew","półilościowy","","morfologia krwi","","","Leukocyty Leukocyty przesunięcie w lewo",""
"31951-7","Wirus gorączki Doliny Rift Ag","granica wykrywalności","punkt w czasie","XXX","półilościowy","","MICRO","","","Antygenu wirusa gorączki doliny Rift Wirus RVF",""
"36909-0","Komórki. faza G0+G1/100 komórek","frakcja liczbowa","punkt w czasie","krew","ilościowy","","patologia molekularna","","","Faza G0+G1 komórki Komórki w fazie G0 i G1 na 100 komórek",""
"44603-9","IgM.monoklonalna","granica wykrywalności","punkt w czasie","płyn mózgowo-rdzeniowy","półilościowy","immunofiksacja","badania biochemiczne - testy bez obciążenia","","","IgM Monoklonalna IgM",""
"13452-8","Żelazo/transferryna","współczynnik masowy","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"14604-3","Przeciwciała grup krwi zidentyfikowany","wykrycie lub identyfikacja","punkt w czasie","surowica lub osocze^jednostka krwi pełnej","cecha","","bank krwi","","","wykryty",""
"53289-5","Mieszane wałeczki komórkowe","liczba w jednostce powierzchni","punkt w czasie","mocz","ilościowy","metoda wspomagana komputerowo","badanie moczu","","","Mieszane wałeczki komórkowe",""
"53317-4","Leukocyty zlepy","granica wykrywalności","punkt w czasie","mocz","półilościowy","zautomatyzowana","badanie moczu","","","Leukocyty zlepy",""
"53318-2","Komórki nabłonka.płaskiego","granica wykrywalności","punkt w czasie","mocz","półilościowy","zautomatyzowana","badanie moczu","","","Komórki nabłonka płaskiego",""
"1755-8","Albumina","wskaźnik masowy w jednostce czasu","24 godziny","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"19077-7","Komórki zidentyfikowany","wykrycie lub identyfikacja","punkt w czasie","płyn ustrojowy","cecha","","morfologia krwi","","","wykryty",""
"19151-0","Próbka pobrana","sygnatura czasu","punkt w czasie","surowica lub osocze","ilościowy","","informacja o próbce","","","",""
"19189-0","CA 549 Ag","stężenie w jednostkach umownych","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","Antygen CA 549",""
"18379-8","Kwas moczowy","wskaźnik masowy w jednostce czasu","6 godzin","mocz","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"2098-2","Cholinoesteraza","stężenie katalityczne","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"5831-3","Adenowirus Ag","granica wykrywalności","punkt w czasie","mocz","półilościowy","metoda immunologiczna","MICRO","","","Adenowirus Antygen Adenowirusa",""
"18277-4","Hemoglobina F","granica wykrywalności","punkt w czasie","sok żołądkowy","półilościowy","metoda Apt-Downey","morfologia krwi","","","",""
"2537-9","Dehydrogenaza mleczanowa 1","stężenie katalityczne","punkt w czasie","surowica lub osocze","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"25386-4","Kreatynina","stężenie molowe","punkt w czasie","płyn ustrojowy","ilościowy","","badania biochemiczne - testy bez obciążenia","","","",""
"28067-7","Hemoglobina F","granica wykrywalności","punkt w czasie","płyn owodniowy","półilościowy","","morfologia krwi","","","",""
