"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"29953-7","Нуклеарні, Антитіла","Титр","МоментЧасу","Сироватка","Кількісно","","Серологія","АНА Титр Сир","Нуклеарні Антитіла [Титр] в сироватці","ABS; Aby; ANA; ANF; Antby; Anti; Antibodies; Antibody; Antinuclear antibody; Autoantibodies; Autoantibody; Dilution factor; Dilution Factor (Titer); NA; Nuc; Point in time; QNT; Quan; Quant; Quantitative; Random; Serology; Serum; SR; Titer; Titered; Titre; Ttr; UniversalLabOrders","Нуклеарні Ат (Сир) [Титр]"
"12386-9","Нордоксепін","Масова Концентрація","МоментЧасу","Сеча","Кількісно","","Наркотична токсикологія","Нордоксепін Сеча-МасКнц","Нордоксепін [Маса/об'єм] у сечі","Desdoxepin; Desdoxepine; Desmeth; Desmethyl; Desmethyldox; Desmethyldoxepin; Doxepin metabolite; DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; N-desmethyldoxepin; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn","Нордоксепін (Сеча) [Маса/об'єм]"
"12420-6","Тіосульфат","Масова Концентрація","МоментЧасу","Сеча","Кількісно","","Хімія","Тіосульфат Сеча-МасКнц","Тіосульфат [Маса/об'єм] у Сечі","Chemistry; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; Thiosulphate; UA; UR; Urn","Тіосульфат (Сеча) [Маса/об'єм]"
"12434-7","преднізон","Масова Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Наркотична токсикологія","преднізон СвткПлаз-МасКнц","преднізон [Маса/об'єм] у Сироватці чи Плазмі","C254; Cortan; Deltasone; DRUG/TOXICOLOGY; Drugs; Level; Liquid Pred; Mass concentration; Meticorten; Orasone; Panasol-S; Pl; Plasma; Plsm; Point in time; Prednicen-M; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","преднізон [Маса/об'єм]"
"14247-1","Клітини Пуркіньє Антитіла","Наявність або Поріг","МоментЧасу","Спинномозкова рідина","Порядково","Імунофлуоресценція","Серологія","Клітини Пуркіньє Антитіла СМР Пор IF","Клітини Пуркіньє Антитіла [Наявність] у спинномозковій рідині методом імунофлуоресценції","ABS; Aby; ACIF; Antby; Anti; Antibodies; Antibody; Anticomplement Immunofluorescence; Autoantibodies; Autoantibody; Cell; Cellularity; Cerebral spinal fluid; Cerebrospinal Fl; FA; Fluorescent antibody; Fluoresent; IFA; Immune fluorescence; Immunoflour; Immunofluor; Immunofluorescence; Neuro; Neurology; Ordinal; Paraneoplastic syndrome; PCA; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serology; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid; Time Resolved Fluorescence; TRF; Yo autoantibody","Клітини Пуркіньє Антитіла IF Пор (СМР)"
"13503-8","Borrelia burgdorferi Антитіла.IgM стрічковий візерунок","Інтерпретація","МоментЧасу","Сироватка","Категорійно","Імуноблот","Мікробіологія","Borrelia burgdorferi IgM Патерн Свтк ІB-Інтерпр","Патерн IgM Borrelia burgdorferi [інтерпретація] в Сироватці за допомогою Імуноблоту","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; B burg; B burgdor; B burgdorferi; Bands; Bb; Blt; bnd; Burgdorf; ID; IgM Patrn; IMMUNE BLOT; Immune globulin M; Immunobl; Immunoblot; Immunoglobulin M; Impression; Impression/interpretation of study; Impressions; Infectious Disease; InfectiousDisease; Interp; Interpretation; Lyme; Lyme disease; Lymes; Microbiology; Nominal; Patrn; Point in time; Random; RIBA; Serum; SR; WB; WBLOT; West blot; West blt; Western blot","Borrelia burgdorferi IgM патерн ІB (Свтк) [Інтерпр]"
"13227-4","Corynebacterium diphtheriae Антитіла.IgG","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Мікробіологія","Corynebacterium diphtheriae IgG Свтк-ДовКонц","Corynebacterium diphtheriae IgG Антитіла [Кількість/об'єм] у сироватці","ABS; Aby; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; C diphtheriae; Diphtheria; Diptheria; ID; Immune globulin G; Immunoglobulin G; Infectious Disease; InfectiousDisease; Microbiology; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR; UniversalLabOrders","Corynebacterium diphtheriae IgG Кільк (Свтк)"
"13299-3","HLA-B","Тип","МоментЧасу","Кров/Тканини","Категорійно","","HLA антигени","HLA-B","HLA-B [Тип]","Blood; Genetics; Heredity; Heritable; HLA ANTIGEN; Human Leukocyte Antigen; Inherited; Nominal; Point in time; Random; Tissue; Tissue, unspecified; Typ; WB; Whole blood; Whole blood or Tissue","HLA-B Кат (Кров/Ткн)"
"13362-9","Тривалість збору","Час","*","Сеча","Кількісно","","Інформація про зразок","Тривалість збору Час Сеча","Тривалість збору Сечі","Coll; Collect; Collect duration; Collected; Durat; QNT; Quan; Quant; Quantitative; SPEC; UA; UR; Urn","Тривалість збору (Сеча)"
"13469-2","Талій/Креатинін","Масове Співвідношення","МоментЧасу","Сеча","Кількісно","","Наркотична токсикологія","Талій/Креатинін Сеча","Талій/Креатинін [Масове Співвідношення] у Сечі","CR; Crea; Creat; DRUG/TOXICOLOGY; Drugs; Mass concentration ratio; Mass ratio; MCRto; Point in time; QNT; Quan; Quant; Quantitative; Random; TL; UA; UCr; UR; Urn","Талій/Креатинін (Сеча) [МасСпвд]"
