"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"BEFORE","100908-3","Pseudomonas aeruginosa","PrThr","Pt","Respiratory.lower","Ord","Organism specific culture","MICRO"
"CHANGED","100908-3","Pseudomonas aeruginosa","PrThr","Pt","Respiratory system specimen.lower","Ord","Organism specific culture","MICRO"
"BEFORE","101104-8","Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.18.11","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101104-8","Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.18.11","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101105-5","MDS v3.0 - RAI v1.18.11 - Nursing home comprehensive (NC) item set","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101105-5","MDS v3.0 - RAI v1.18.11 - Nursing home comprehensive (NC) item set","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101106-3","MDS v3.0 - RAI v1.18.11 - Nursing home quarterly (NQ) item set","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101106-3","MDS v3.0 - RAI v1.18.11 - Nursing home quarterly (NQ) item set","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101107-1","MDS v3.0 - RAI v1.18.11 - Nursing home discharge (ND) item set","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101107-1","MDS v3.0 - RAI v1.18.11 - Nursing home discharge (ND) item set","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101108-9","MDS v3.0 - RAI v1.18.11 - Nursing home & Swing bed tracking (NT & ST) item set","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101108-9","MDS v3.0 - RAI v1.18.11 - Nursing home & Swing bed tracking (NT & ST) item set","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101109-7","MDS v3.0 - RAI v1.18.11 - Nursing home part A PPS discharge (NPE) item set","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101109-7","MDS v3.0 - RAI v1.18.11 - Nursing home part A PPS discharge (NPE) item set","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101110-5","MDS v3.0 - RAI v1.18.11 - Nursing home PPS (NP) item set","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101110-5","MDS v3.0 - RAI v1.18.11 - Nursing home PPS (NP) item set","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101111-3","MDS v3.0 - RAI v1.18.11 - Interim Payment Assessment (IPA) item set","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101111-3","MDS v3.0 - RAI v1.18.11 - Interim Payment Assessment (IPA) item set","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101112-1","MDS v3.0 - RAI v1.18.11 - Swing bed PPS (SP) item set","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101112-1","MDS v3.0 - RAI v1.18.11 - Swing bed PPS (SP) item set","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101113-9","MDS v3.0 - RAI v1.18.11 - Swing bed discharge (SD) item set","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101113-9","MDS v3.0 - RAI v1.18.11 - Swing bed discharge (SD) item set","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101258-2","MDS v3.0 - RAI v1.18.11 - Identification Information","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101258-2","MDS v3.0 - RAI v1.18.11 - Identification Information","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101259-0","MDS v3.0 - RAI v1.18.11 - Hearing, Speech, and Vision","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101259-0","MDS v3.0 - RAI v1.18.11 - Hearing, Speech, and Vision","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101260-8","MDS v3.0 - RAI v1.18.11 - Cognitive Patterns","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101260-8","MDS v3.0 - RAI v1.18.11 - Cognitive Patterns","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101261-6","MDS v3.0 - RAI v1.18.11 - Mood","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CAM"
"CHANGED","101261-6","MDS v3.0 - RAI v1.18.11 - Mood","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CAM"
"BEFORE","101262-4","MDS v3.0 - RAI v1.18.11 - Behavior","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101262-4","MDS v3.0 - RAI v1.18.11 - Behavior","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101263-2","MDS v3.0 - RAI v1.18.11 - Preferences for Customary Routine and Activities","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"CHANGED","101263-2","MDS v3.0 - RAI v1.18.11 - Preferences for Customary Routine and Activities","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"BEFORE","101264-0","MDS v3.0 - RAI v1.18.11 - Functional Abilities and Goals","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101264-0","MDS v3.0 - RAI v1.18.11 - Functional Abilities and Goals","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101265-7","MDS v3.0 - RAI v1.18.11 - Functional Abilities and Goals - Admission","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"CHANGED","101265-7","MDS v3.0 - RAI v1.18.11 - Functional Abilities and Goals - Admission","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.ACT"
"BEFORE","101266-5","MDS v3.0 - RAI v1.18.11 - Functional Abilities and Goals - Discharge","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101266-5","MDS v3.0 - RAI v1.18.11 - Functional Abilities and Goals - Discharge","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101267-3","MDS v3.0 - RAI v1.18.11 - Functional Abilities and Goals - OBRA &or Interim","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101267-3","MDS v3.0 - RAI v1.18.11 - Functional Abilities and Goals - OBRA &or Interim","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101268-1","MDS v3.0 - RAI v1.18.11 - Bladder and Bowel","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101268-1","MDS v3.0 - RAI v1.18.11 - Bladder and Bowel","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101269-9","MDS v3.0 - RAI v1.18.11 - Active Diagnoses","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101269-9","MDS v3.0 - RAI v1.18.11 - Active Diagnoses","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","101270-7","MDS v3.0 - RAI v1.18.11 - Health Conditions","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","101270-7","MDS v3.0 - RAI v1.18.11 - Health Conditions","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
